No.,Entidad,Deflactor_2010
1,Aguascalientes,74.47423155
02,Baja California,74.27424964
03,Baja California Sur,76.64073005
04,Campeche,72.07600445
05,Coahuila de Zaragoza,74.7770528
06,Colima,73.50177598
07,Chiapas,71.51590513
08,Chihuahua,75.65625486
09,Ciudad de México,71.63136432
10,Durango,71.40512455
11,Guanajuato,71.73113624
12,Guerrero,72.43926373
13,Hidalgo,70.3729947
14,Jalisco,72.41898051
15,México,71.9774887
16,Michoacán de Ocampo,71.87229217
17,Morelos,74.85584543
18,Nayarit,73.11060425
19,Nuevo León,76.49423725
20,Oaxaca,73.61796506
21,Puebla,72.41556468
22,Querétaro,71.02683439
23,Quintana Roo,76.24426196
24,San Luis Potosí,73.49222269
25,Sinaloa,77.8498841
26,Sonora,76.10684879
27,Tabasco,73.54715857
28,Tamaulipas,76.14221348
29,Tlaxcala,71.90667063
30,Veracruz de Ignacio de la Llave,73.09217084
31,Yucatán,72.98545756
32,Zacatecas,72.83828721
